age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_sub_willingness_binary,uses_smartphone,uses_computer,uses_speaker,uses_wearable,device_diversity,primary_listening_device,Age_Segment,Relaxation,Motivational,Sadness,Social,Uses_Recommendations,Uses_Playlists,Uses_Radio,Uses_External,music_expl_category,Travel_Listening,Leisure_Listening,Workout_Listening,Study_Listening,Office_Listening,Night_Winddown,pod_lis_category
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Electronic/Dance,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Daily,Sports,Conversational,Both,Both,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Regular user
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Duo plan,Music,Pop,Night,Relaxation and stress relief,leisure time,Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Shorter,Dissatisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Other,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time",Others,5,Rarely,Other,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,0,0,0,1,External Discovery,0,1,1,1,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student plan,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",recommendations,5,Several times a week,No Podcast Usage,No Podcast Usage,No Podcast Usage,Both,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,1,0,0,Regular user
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Student plan,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied,0,1,1,0,0,2,Smartphone,Young Adult,1,1,0,1,0,0,0,1,External Discovery,1,1,1,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Student plan,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,Student plan,Music,Pop,Afternoon,Social gatherings or parties,While Traveling,recommendations,4,Rarely,Comedy,Conversational,unknown Podcasters,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,0,0,0,1,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,4,Several times a week,Comedy,Story telling,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Regular user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,1,1,0,0,0,1,External Discovery,1,1,1,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Individual plan,Podcast,Classical,Morning,Uplifting and motivational,Workout session,Playlists,1,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied,1,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,1,0,0,Playlist-driven,0,0,1,0,0,0,Regular user
12-20,Female,6 months to 1 year,Computer or laptop,Premium,Yes,Duo plan,Podcast,Classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok,1,0,1,0,0,1,Computer,Teen Listener,0,0,1,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Classical,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Interview,Well known individuals,Longer,Ok,1,0,1,0,0,1,Computer,Young Adult,0,0,1,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
12-20,Female,1 year to 2 years,Computer or laptop,Free,Yes,Individual plan,Podcast,Rap,Afternoon,Sadness or melancholy,Study Hours,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,0,1,0,0,0,1,0,Radio/Autoplay,0,0,0,1,0,0,Light user
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Individual plan,Podcast,Classical,Afternoon,Sadness or melancholy,While Traveling,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok,1,0,1,0,0,1,Computer,Young Adult,0,0,1,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Regular user
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Music,Rap,Morning,Uplifting and motivational,While Traveling,Radio,3,Once a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied,1,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium,Yes,Duo plan,Podcast,Classical,Morning,Uplifting and motivational,Study Hours,Radio,3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,1,0,0,1,0,1,Speaker,Teen Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,0,0,0,1,0,0,Regular user
12-20,Female,1 year to 2 years,Smartphone,Free,Yes,Student plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,5,Daily,Health and Fitness,Educational,Well known individuals,Shorter,Very Satisfied,1,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,0,0,0,1,External Discovery,1,1,1,0,0,0,Regular user
12-20,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Rap,Morning,Sadness or melancholy,Workout session,Playlists,4,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,0,1,0,0,1,0,0,Playlist-driven,0,0,1,0,0,0,Regular user
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,Classical,Afternoon,Sadness or melancholy,Workout session,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,1,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Light user
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Music,Classical,Afternoon,Sadness or melancholy,"Study Hours, While Traveling, leisure time","Playlists, Others",2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied,1,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,0,1,0,1,Playlist-driven,1,1,0,1,0,0,Light user
20-35,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Premium,Yes,Duo plan,Podcast,Rap,Morning,Uplifting and motivational,"While Traveling, Workout session, leisure time","Playlists, Radio, Others",2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,1,0,1,0,1,2,Computer,Young Adult,0,1,0,0,0,1,1,1,Playlist-driven,1,1,1,0,0,0,Regular user
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Individual plan,Podcast,Pop,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3,Several times a week,Health and Fitness,Story telling,Both,Longer,Satisfied,1,0,1,1,0,2,Computer,Young Adult,0,1,1,0,0,1,1,0,Playlist-driven,1,0,1,1,0,0,Regular user
20-35,Others,1 year to 2 years,Computer or laptop,Free,Yes,Family plan,Podcast,Classical,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session","Playlists, Radio, Others",3,Once a week,Sports,Interview,unknown Podcasters,Shorter,Ok,1,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,1,1,1,Playlist-driven,1,0,1,1,0,0,Light user
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium,No,Duo plan,Podcast,Classical,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Playlists, Others",2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Very Satisfied,0,1,1,1,0,3,Smartphone,Young Adult,0,1,1,0,0,1,0,1,Playlist-driven,1,0,0,1,1,0,Regular user
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,Duo plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Others",3,Once a week,Sports,Interview,unknown Podcasters,Both,Ok,0,0,1,1,1,3,Computer,Young Adult,1,0,1,0,0,1,0,1,Playlist-driven,1,0,1,1,0,0,Light user
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium,No,Family plan,Podcast,Classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","Playlists, Radio",3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,0,0,1,1,0,2,Computer,Young Adult,0,1,1,0,0,1,1,0,Playlist-driven,1,0,1,1,0,0,Regular user
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium,Yes,Duo plan,Music,Classical,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Playlists, Radio",3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,1,0,1,1,1,3,Computer,Young Adult,0,1,1,1,1,1,1,0,Hybrid: Rec + Playlist,0,0,1,1,1,0,Regular user
12-20,Female,6 months to 1 year,"Smartphone, Computer or laptop",Premium,Yes,Individual plan,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Radio, Others",2,Several times a week,Health and Fitness,Story telling,Both,Longer,Ok,1,1,1,0,0,2,Smartphone,Teen Listener,1,0,1,0,1,0,1,1,Algorithm-driven,1,0,0,1,1,0,Regular user
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Free,No,Duo plan,Podcast,Classical,Afternoon,Social gatherings or parties,"Study Hours, While Traveling",Radio,3,Rarely,Sports,Conversational,unknown Podcasters,Longer,Ok,0,0,0,1,0,1,Speaker,Teen Listener,0,0,0,1,0,0,1,0,Radio/Autoplay,1,0,0,1,0,0,Light user
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Family plan,Music,Classical,Afternoon,Sadness or melancholy,While Traveling,"Playlists, Radio",3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,1,0,1,1,0,2,Computer,Young Adult,0,0,1,0,0,1,1,0,Playlist-driven,1,0,0,0,0,0,Light user
35-60,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free,No,Family plan,Music,Classical,Morning,Uplifting and motivational,While Traveling,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,0,0,1,1,0,2,Computer,Adult Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
35-60,Female,Less than 6 months,"Smartphone, Computer or laptop",Premium,No,Duo plan,Podcast,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio",2,Once a week,Sports,Interview,unknown Podcasters,Longer,Ok,0,1,1,0,0,2,Smartphone,Adult Listener,1,1,1,0,1,1,1,0,Hybrid: Rec + Playlist,1,0,1,1,0,0,Light user
35-60,Female,6 months to 1 year,"Smart speakers or voice assistants, Wearable devices",Free,No,Duo plan,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Playlists,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,0,0,0,1,1,2,Speaker,Adult Listener,0,1,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Regular user
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Duo plan,Podcast,Classical,Afternoon,Sadness or melancholy,Workout session,Playlists,2,Several times a week,Health and Fitness,Story telling,Both,Both,Dissatisfied,1,0,1,1,0,2,Computer,Young Adult,0,0,1,0,0,1,0,0,Playlist-driven,0,0,1,0,0,0,Regular user
12-20,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,No,Duo plan,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, While Traveling, Workout session",Playlists,3,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok,0,0,1,1,0,2,Computer,Teen Listener,1,1,1,0,0,1,0,0,Playlist-driven,1,0,1,1,0,0,Light user
20-35,Female,6 months to 1 year,Computer or laptop,Premium,No,Family plan,Music,Classical,Night,Sadness or melancholy,Workout session,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied,0,0,1,0,0,1,Computer,Young Adult,0,0,1,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Regular user
12-20,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Premium,Yes,Duo plan,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",Radio,3,Once a week,Health and Fitness,Interview,Both,Longer,Satisfied,1,0,1,0,1,2,Computer,Teen Listener,1,0,1,0,0,0,1,0,Radio/Autoplay,1,0,1,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,Individual plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Others,4,Rarely,Health and Fitness,No Podcast Usage,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,1,0,0,0,0,0,Light user
35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Premium,Yes,Duo plan,Podcast,Rap,Afternoon,Uplifting and motivational,While Traveling,Others,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,1,0,0,1,0,1,Speaker,Adult Listener,0,1,0,0,0,0,0,1,External Discovery,1,0,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Individual plan,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy",Study Hours,Playlists,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied,1,0,1,0,0,1,Computer,Young Adult,0,1,1,0,0,1,0,0,Playlist-driven,0,0,0,1,0,0,Light user
20-35,Male,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session","recommendations,Others, Social media",3,Never,Comedy,Conversational,Well known individuals,Longer,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,0,0,1,Algorithm-driven,1,0,1,0,1,0,Non-podcast user
20-35,Female,6 months to 1 year,Computer or laptop,Premium,Yes,Duo plan,Music,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Several times a week,Lifestyle and Health,Educational,unknown Podcasters,Longer,Dissatisfied,1,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Regular user
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium,No,Family plan,Music,Classical,Night,Sadness or melancholy,While Traveling,Others,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied,0,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,0,0,0,1,External Discovery,1,0,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","Radio, Others",3,Several times a week,Lifestyle and Health,Interview,unknown Podcasters,Longer,Satisfied,1,0,1,0,0,1,Computer,Young Adult,1,1,1,0,0,0,1,1,Radio/Autoplay,1,0,0,1,1,0,Regular user
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Duo plan,Podcast,Classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational",Office hours,recommendations,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,1,0,1,1,0,2,Computer,Young Adult,1,1,0,0,1,0,0,0,Algorithm-driven,0,0,0,0,1,0,Light user
20-35,Female,1 year to 2 years,Computer or laptop,Premium,No,Duo plan,Podcast,Rap,Afternoon,Uplifting and motivational,Workout session,Radio,2,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok,0,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Regular user
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,Classical,Afternoon,Sadness or melancholy,"Office hours, While Traveling, Workout session","recommendations, Radio, Others",2,Once a week,Lifestyle and Health,Educational,unknown Podcasters,Both,Ok,1,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,1,0,1,1,Algorithm-driven,1,0,1,0,1,0,Light user
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Duo plan,Podcast,Rap,Afternoon,Uplifting and motivational,"Study Hours, While Traveling, Workout session","recommendations, Playlists, Radio",4,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok,1,0,1,1,0,2,Computer,Young Adult,0,1,0,0,1,1,1,0,Hybrid: Rec + Playlist,1,0,1,1,0,0,Light user
20-35,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Free,No,Duo plan,Podcast,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session","recommendations, Playlists, Radio",3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok,0,0,1,0,1,2,Computer,Young Adult,1,1,0,0,1,1,1,0,Hybrid: Rec + Playlist,0,0,1,1,0,0,Regular user
12-20,Female,6 months to 1 year,Computer or laptop,Premium,No,Individual plan,Music,Classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",Workout session,Radio,2,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied,0,0,1,0,0,1,Computer,Teen Listener,0,1,1,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Regular user
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Individual plan,Podcast,Melody,Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling","Playlists, Others",3,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Very Satisfied,1,0,1,1,0,2,Computer,Young Adult,0,1,0,1,0,1,0,1,Playlist-driven,1,0,0,1,1,0,Regular user
20-35,Others,1 year to 2 years,Computer or laptop,Premium,No,Family plan,Music,Classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Once a week,Sports,Story telling,unknown Podcasters,Longer,Satisfied,0,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Free,No,Duo plan,Podcast,Classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",While Traveling,"Playlists, Radio",3,Several times a week,Sports,Story telling,Both,Longer,Ok,0,0,0,1,0,1,Speaker,Teen Listener,0,1,1,0,0,1,1,0,Playlist-driven,1,0,0,0,0,0,Regular user
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Premium,No,Family plan,Music,Melody,Afternoon,Sadness or melancholy,While Traveling,Others,2,Once a week,Sports,Conversational,Both,Longer,Ok,0,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,0,0,0,1,External Discovery,1,0,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium,Yes,Family plan,Podcast,Melody,Afternoon,Sadness or melancholy,Workout session,Others,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,1,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,0,0,0,1,External Discovery,0,0,1,0,0,0,Light user
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Music,Rap,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok,1,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
12-20,Female,6 months to 1 year,Computer or laptop,Premium,Yes,Duo plan,Podcast,Classical,Morning,Sadness or melancholy,While Traveling,Playlists,3,Once a week,Sports,Interview,Both,Longer,Ok,1,0,1,0,0,1,Computer,Teen Listener,0,0,1,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
12-20,Female,6 months to 1 year,Computer or laptop,Free,Yes,Family plan,Music,Classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",Others,3,Once a week,Health and Fitness,Educational,unknown Podcasters,Both,Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,0,1,0,0,0,0,1,External Discovery,1,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,"Others, Social media",2,Rarely,Health and Fitness,Educational,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,1,0,0,0,1,External Discovery,0,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual plan,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Regular user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",leisure time,Playlists,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,1,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Classical,Morning,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Daily,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,1,0,0,Regular user
20-35,Female,More than 2 years,Smartphone,Free,No,Student plan,Music,Classical,Night,Sadness or melancholy,leisure time,Others,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,0,1,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Regular user
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Student plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling","recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,1,1,0,Light user
20-35,Male,More than 2 years,Smartphone,Free,Yes,Student plan,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Before bed","recommendations, Playlists",3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,0,1,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual plan,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,No Podcast Usage,Story telling,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,Individual plan,Music,Pop,Morning,Uplifting and motivational,"While Traveling, leisure time",Others,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,0,0,0,1,External Discovery,1,1,0,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Others",1,Rarely,Other,Story telling,Both,Shorter,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,0,0,1,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,"Smartphone, Wearable devices",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session",Others,4,Never,Food and cooking,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,1,2,Smartphone,Young Adult,1,0,1,0,0,0,0,1,External Discovery,1,0,1,0,1,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,Student plan,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,No Podcast Usage,No Podcast Usage,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,0,1,0,0,0,Algorithm-driven,1,1,1,0,0,0,Light user
